"A1","A2","A3","Taxa","Position","set"
-0.0693854941470181,0.17288655599562,0.0199335222774581,"acroloxuslacustris","all sites","complete dataset"
0.0600123377747424,-0.010492681476122,0.27609690977567,"acrophylaxzerberus","all sites","complete dataset"
0.0444902086277725,-0.00968866122811356,0.2774863195884,"adicellareducta","all sites","complete dataset"
0.0492675942495562,-0.19628126131294,0.0546374269883045,"aeshnidaegensp","all sites","complete dataset"
-0.23314918635545,0.12613597135782,0.143388942707332,"agabussplv","all sites","complete dataset"
0.26625568801185,0.19256820337063,0.0315897403566289,"agapetusfuscipes","all sites","complete dataset"
0.26625568801185,0.192568203370631,0.031589740356629,"agapetusochripes","all sites","complete dataset"
0.26625568801185,0.192568203370631,0.031589740356628,"agapetussp","all sites","complete dataset"
-0.07752090151958,0.213256269324463,-0.272502228415293,"alboglossiphoniaheteroclita","all sites","complete dataset"
-0.07752090151958,0.213256269324464,-0.272502228415295,"alboglossiphoniasp","all sites","complete dataset"
0.0438377180398121,0.00851790368235011,0.304612527257476,"allogamusauricollis","all sites","complete dataset"
0.0766219631750117,-0.223656695831217,0.00742034125850095,"amphinemurasp","all sites","complete dataset"
0.132792344334185,-0.0152708027246247,0.170602623363023,"anabolianervosa","all sites","complete dataset"
-0.319540794695607,0.121849347562825,0.133709359678703,"anacaenabipustulataad","all sites","complete dataset"
-0.319540794695607,0.121849347562825,0.133709359678703,"anacaenaglobulusad","all sites","complete dataset"
-0.319540794695607,0.121849347562825,0.133709359678703,"anacaenasplv","all sites","complete dataset"
-0.0773601852302974,0.212259183632561,0.0369966658097788,"ancylusfluviatilis","all sites","complete dataset"
0.111282825606064,0.149257854452687,0.026619558627426,"anisusseptemgyratus","all sites","complete dataset"
0.111282825606064,0.149257854452687,0.026619558627426,"anisussp","all sites","complete dataset"
0.111282825606064,0.149257854452687,0.0266195586274261,"anisusvortex","all sites","complete dataset"
-0.0340481216198887,-0.0647035410647025,-0.270017616906858,"anodontaanatina","all sites","complete dataset"
-0.0340481216198887,-0.0647035410647024,-0.270017616906858,"anodontasp","all sites","complete dataset"
0.0747878343380721,-0.0119869302677442,0.270295974394191,"anomalopterygellachauviniana","all sites","complete dataset"
-0.226517882246121,0.0639789120944859,-0.0263958447430644,"antochasp","all sites","complete dataset"
-0.159153987686598,0.0845337155930556,-0.275334468807046,"aphelocheirusaestivalis","all sites","complete dataset"
-0.148973811624955,-0.0997567326311318,-0.234414830461718,"asellidaegensp","all sites","complete dataset"
-0.0933218298949499,-0.110488635713434,-0.20795286418552,"asellusaquaticus","all sites","complete dataset"
-0.0311706888611658,-0.131302160645593,-0.0137622772365459,"astacusastacus","all sites","complete dataset"
-0.0311706888611658,-0.131302160645593,-0.0137622772365459,"astacustorrentium","all sites","complete dataset"
-0.0461824615447909,-0.135318385278546,0.0932735399386376,"atherixibis","all sites","complete dataset"
0.0406229212185697,-0.0448185288333174,0.276541723461054,"athripsodesalbifrons","all sites","complete dataset"
0.0406229212185697,-0.0448185288333174,0.276541723461053,"athripsodesbilineatusbilineatus","all sites","complete dataset"
0.0406229212185697,-0.0448185288333174,0.276541723461053,"athripsodescinereus","all sites","complete dataset"
0.0406229212185697,-0.0448185288333174,0.276541723461053,"athripsodessp","all sites","complete dataset"
-0.0402976922377091,-0.137760149065501,0.0659665347867635,"atrichopscrassipes","all sites","complete dataset"
0.0493657723866174,-0.239097855639029,0.00722781496124427,"baetidaegensp","all sites","complete dataset"
0.0460353023478801,-0.194136788163321,0.0234569609212875,"baetisalpinus","all sites","complete dataset"
0.0460353023478801,-0.194136788163321,0.0234569609212875,"baetisalpinuslutherimelanonyxvardarensis","all sites","complete dataset"
0.0460353023478801,-0.194136788163321,0.0234569609212875,"baetisbuceratus","all sites","complete dataset"
0.0460353023478801,-0.194136788163321,0.0234569609212875,"baetisfuscatus","all sites","complete dataset"
0.0460353023478801,-0.194136788163321,0.0234569609212876,"baetisfuscatusscambus","all sites","complete dataset"
0.0460353023478802,-0.194136788163321,0.0234569609212876,"baetisliebenauae","all sites","complete dataset"
0.0460353023478801,-0.194136788163321,0.0234569609212876,"baetislutheri","all sites","complete dataset"
0.0460353023478802,-0.194136788163321,0.0234569609212876,"baetismuticus","all sites","complete dataset"
0.0460353023478802,-0.194136788163321,0.0234569609212876,"baetisnexus","all sites","complete dataset"
0.0460353023478803,-0.194136788163321,0.0234569609212876,"baetisniger","all sites","complete dataset"
0.0460353023478803,-0.194136788163321,0.0234569609212876,"baetisrhodani","all sites","complete dataset"
0.0460353023478803,-0.194136788163321,0.0234569609212876,"baetisscambus","all sites","complete dataset"
0.0460353023478803,-0.194136788163321,0.0234569609212876,"baetissp","all sites","complete dataset"
0.0460353023478803,-0.194136788163321,0.0234569609212876,"baetisvardarensis","all sites","complete dataset"
0.0460353023478803,-0.19413678816332,0.0234569609212875,"baetisvernus","all sites","complete dataset"
0.015552773717768,0.150592521231694,0.0790819802456792,"bathyomphaluscontortus","all sites","complete dataset"
0.079962182770045,0.0522786740889451,-0.0120291908946085,"bithynialeachiileachii","all sites","complete dataset"
0.079962182770045,0.052278674088945,-0.0120291908946085,"bithyniasp","all sites","complete dataset"
0.079962182770045,0.0522786740889451,-0.0120291908946085,"bithyniatentaculata","all sites","complete dataset"
0.0654335399624462,0.128209043284012,0.188773585822542,"brachycentrusmaculatus","all sites","complete dataset"
0.0684152824838226,0.132219572020819,0.187119423773211,"brachycentrussp","all sites","complete dataset"
0.0684152824838226,0.132219572020819,0.187119423773211,"brachycentrussubnubilus","all sites","complete dataset"
0.149966612590381,-0.124301248813097,-0.0605967264396483,"brachypterarisi","all sites","complete dataset"
0.149966612590381,-0.124301248813097,-0.0605967264396483,"brachypteraseticornis","all sites","complete dataset"
0.149966612590381,-0.124301248813097,-0.0605967264396482,"brachypterasp","all sites","complete dataset"
0.0104196779235925,0.145432013305149,-0.294149139695192,"branchiurasowerbyi","all sites","complete dataset"
-0.27113563578317,0.148852602254943,0.0251086228091296,"brychiuselevatuslv","all sites","complete dataset"
0.0591998144123283,-0.166168942416859,-0.0566245369059907,"bythinellasp","all sites","complete dataset"
0.133642563137071,-0.290925570657324,-0.119644843027997,"caenisbeskidensispseudorivulorum","all sites","complete dataset"
0.133642563137071,-0.290925570657324,-0.119644843027996,"caenishoraria","all sites","complete dataset"
0.133642563137071,-0.290925570657324,-0.119644843027997,"caenisluctuosa","all sites","complete dataset"
0.133642563137071,-0.290925570657324,-0.119644843027996,"caenisluctuosamacrura","all sites","complete dataset"
0.133642563137071,-0.290925570657324,-0.119644843027997,"caenismacrura","all sites","complete dataset"
0.133642563137071,-0.290925570657324,-0.119644843027997,"caenisrivulorum","all sites","complete dataset"
0.133642563137071,-0.290925570657324,-0.119644843027997,"caenissp","all sites","complete dataset"
0.0618524194417959,-0.118240212544685,0.0234930345011631,"calopteryxsp","all sites","complete dataset"
0.0618524194417959,-0.118240212544685,0.0234930345011631,"calopteryxsplendens","all sites","complete dataset"
